x,y
226,139
226,140
226,141
226,146
226,147
226,148
226,149
226,150
226,215
226,216
226,217
226,221
226,222
227,55
227,56
227,59
227,60
227,79
227,80
227,84
227,85
227,86
227,120
227,121
227,122
227,134
227,135
227,136
227,137
227,142
227,143
227,144
227,145
227,211
227,212
227,213
227,214
227,218
227,219
227,220
228,56
228,57
228,60
228,61
228,80
228,81
228,82
228,87
228,88
228,89
228,117
228,118
228,123
228,124
228,125
228,126
228,127
228,128
228,129
228,130
228,131
228,132
228,133
228,138
228,139
228,140
228,141
228,207
228,208
228,209
228,210
228,215
228,216
228,217
229,58
229,59
229,62
229,63
229,83
229,84
229,85
229,86
229,90
229,91
229,92
229,103
229,115
229,116
229,120
229,121
229,122
229,198
229,199
229,200
229,201
229,202
229,203
229,204
229,205
229,206
229,211
229,212
229,213
229,214
229,215
230,59
230,60
230,63
230,64
230,87
230,88
230,89
230,93
230,94
230,95
230,96
230,97
230,98
230,99
230,100
230,104
230,105
230,106
230,107
230,108
230,109
230,110
230,111
230,112
230,113
230,114
230,118
230,119
230,189
230,190
230,191
230,192
230,193
230,194
230,195
230,196
230,197
230,207
230,208
230,209
230,210
231,61
231,64
231,90
231,91
231,92
231,101
231,115
231,116
231,117
231,184
231,185
231,186
231,187
231,188
231,198
231,199
231,200
231,201
231,202
231,203
231,204
231,205
231,206
232,62
232,65
232,93
232,94
232,95
232,96
232,97
232,98
232,99
232,102
232,103
232,104
232,106
232,107
232,108
232,109
232,110
232,111
232,112
232,113
232,114
232,179
232,180
232,181
232,182
232,183
232,189
232,190
232,191
232,192
232,193
232,194
232,195
232,196
232,197
233,62
233,63
233,65
233,176
233,177
233,178
233,184
233,185
233,186
233,187
233,188
234,63
234,65
234,173
234,174
234,180
234,181
234,182
234,183
235,63
235,66
235,67
235,170
235,171
235,175
235,176
235,177
235,178
236,64
236,68
236,69
236,70
236,71
236,72
236,167
236,168
236,169
236,173
236,174
236,175
237,64
237,65
237,66
237,73
237,74
237,75
237,166
237,167
237,170
237,171
237,172
238,67
238,68
238,69
238,70
238,71
238,76
238,77
238,78
238,79
238,80
238,163
238,164
238,165
238,169
239,72
239,73
239,74
239,81
239,82
239,83
239,84
239,85
239,161
239,162
239,163
239,166
239,167
240,75
240,76
240,77
240,78
240,79
240,80
240,87
240,88
240,89
240,160
240,161
240,164
240,165
241,81
241,82
241,83
241,84
241,85
241,90
241,91
241,92
241,93
241,158
241,159
241,163
242,86
242,87
242,88
242,89
242,94
242,95
242,96
242,97
242,157
242,160
242,161
242,162
243,90
243,91
243,92
243,93
243,97
243,98
243,99
243,155
243,156
243,159
243,160
244,94
244,95
244,96
244,100
244,101
244,102
244,153
244,154
244,158
244,159
245,97
245,98
245,99
245,103
245,104
245,105
245,152
245,153
245,156
245,157
246,100
246,101
246,102
246,106
246,107
246,108
246,109
246,110
246,151
246,155
247,103
247,104
247,105
247,111
247,112
247,113
247,114
247,115
247,116
247,149
247,150
247,153
247,154
248,106
248,107
248,108
248,109
248,117
248,118
248,119
248,120
248,121
248,122
248,123
248,124
248,147
248,148
248,152
249,110
249,111
249,112
249,113
249,114
249,115
249,116
249,125
249,126
249,127
249,128
249,129
249,146
249,150
249,151
250,117
250,118
250,119
250,120
250,121
250,122
250,123
250,124
250,130
250,131
250,132
250,133
250,134
250,144
250,145
250,148
250,149
251,125
251,126
251,127
251,128
251,129
251,135
251,136
251,137
251,138
251,143
251,147
251,148
252,130
252,131
252,132
252,139
252,140
252,141
252,142
252,145
252,146
253,133
253,134
253,135
253,136
253,137
253,144
253,145
254,138
254,139
254,140
254,141
254,142
254,143
